"","Accession","Description"
"231","Q9CQX5","Claudin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Cldnd1 PE=1 SV=1"
"232","Q99J77","Sialic acid synthase OS=Mus musculus OX=10090 GN=Nans PE=1 SV=1"
"233","Q61937","Nucleophosmin OS=Mus musculus OX=10090 GN=Npm1 PE=1 SV=1"
"234","Q8BR07","Protein bicaudal D homolog 1 OS=Mus musculus OX=10090 GN=Bicd1 PE=1 SV=2"
"235","Q9JIQ3","Diablo homolog, mitochondrial OS=Mus musculus OX=10090 GN=Diablo PE=1 SV=2"
"236","Q9D9H8","UPF0565 protein C2orf69 homolog OS=Mus musculus OX=10090 PE=2 SV=3"
"237","Q9CZR2","N-acetylated-alpha-linked acidic dipeptidase 2 OS=Mus musculus OX=10090 GN=Naalad2 PE=1 SV=2"
"238","Q8BFZ3","Beta-actin-like protein 2 OS=Mus musculus OX=10090 GN=Actbl2 PE=1 SV=1"
"239","Q91WQ3","Tyrosine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Yars PE=1 SV=3"
"240","Q3URY6","Armadillo repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Armc2 PE=2 SV=3"
"241","Q8BGI3","Insulin-induced gene 1 protein OS=Mus musculus OX=10090 GN=Insig1 PE=2 SV=1"
"242","Q9ERU3","Zinc finger protein 22 OS=Mus musculus OX=10090 GN=Znf22 PE=1 SV=2"
"243","Q8C3F2","Constitutive coactivator of PPAR-gamma-like protein 2 OS=Mus musculus OX=10090 GN=Fam120c PE=1 SV=3"
"244","Q8VDI1","Epithelial-stromal interaction protein 1 OS=Mus musculus OX=10090 GN=Epsti1 PE=1 SV=2"
"245","Q5U4F6","WD repeat-containing protein 34 OS=Mus musculus OX=10090 GN=Wdr34 PE=1 SV=2"
"246","Q9CQB5","CDGSH iron-sulfur domain-containing protein 2 OS=Mus musculus OX=10090 GN=Cisd2 PE=1 SV=1"
"247","Q9JI46","Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Mus musculus OX=10090 GN=Nudt3 PE=1 SV=1"
"248","Q8BL97","Serine/arginine-rich splicing factor 7 OS=Mus musculus OX=10090 GN=Srsf7 PE=1 SV=1"
"249","Q9D338","39S ribosomal protein L19, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl19 PE=1 SV=1"
"250","Q3UI43","BRISC and BRCA1-A complex member 1 OS=Mus musculus OX=10090 GN=Babam1 PE=1 SV=1"
"251","Q9CQN3","Mitochondrial import receptor subunit TOM6 homolog OS=Mus musculus OX=10090 GN=Tomm6 PE=3 SV=1"
"252","Q9CYH5","Glucose-fructose oxidoreductase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Gfod2 PE=2 SV=1"
"253","Q62311","Transcription initiation factor TFIID subunit 6 OS=Mus musculus OX=10090 GN=Taf6 PE=1 SV=1"
"254","O35127","Protein C10 OS=Mus musculus OX=10090 GN=Grcc10 PE=1 SV=1"
"255","Q9CVB6","Actin-related protein 2/3 complex subunit 2 OS=Mus musculus OX=10090 GN=Arpc2 PE=1 SV=3"
"256","Q9D5T0","ATPase family AAA domain-containing protein 1 OS=Mus musculus OX=10090 GN=Atad1 PE=1 SV=1"
"257","Q9CQR2","40S ribosomal protein S21 OS=Mus musculus OX=10090 GN=Rps21 PE=1 SV=1"
"258","Q8BG94","COMM domain-containing protein 7 OS=Mus musculus OX=10090 GN=Commd7 PE=1 SV=1"
"259","E9Q401","Ryanodine receptor 2 OS=Mus musculus OX=10090 GN=Ryr2 PE=1 SV=1"
"260","Q6KCD5","Nipped-B-like protein OS=Mus musculus OX=10090 GN=Nipbl PE=1 SV=1"
"261","Q3UHB1","5'-nucleotidase domain-containing protein 3 OS=Mus musculus OX=10090 GN=Nt5dc3 PE=1 SV=1"
"262","Q8BZH0","Zinc transporter ZIP13 OS=Mus musculus OX=10090 GN=Slc39a13 PE=2 SV=1"
"263","Q9DC60","UbiA prenyltransferase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ubiad1 PE=2 SV=1"
"264","Q9JII6","Aldo-keto reductase family 1 member A1 OS=Mus musculus OX=10090 GN=Akr1a1 PE=1 SV=3"
"265","Q8K199","COX assembly mitochondrial protein 2 homolog OS=Mus musculus OX=10090 GN=Cmc2 PE=3 SV=1"
"266","Q8VDQ8","NAD-dependent protein deacetylase sirtuin-2 OS=Mus musculus OX=10090 GN=Sirt2 PE=1 SV=2"
"267","P29387","Guanine nucleotide-binding protein subunit beta-4 OS=Mus musculus OX=10090 GN=Gnb4 PE=1 SV=4"
"268","Q80VJ3","2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Mus musculus OX=10090 GN=Dnph1 PE=1 SV=2"
"269","Q61576","Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Mus musculus OX=10090 GN=Fkbp10 PE=1 SV=2"
"270","Q6NWV3","Intraflagellar transport protein 122 homolog OS=Mus musculus OX=10090 GN=Ift122 PE=1 SV=1"
"271","Q8CDL9","Coiled-coil domain-containing protein 87 OS=Mus musculus OX=10090 GN=Ccdc87 PE=1 SV=2"
"272","Q99LF4","tRNA-splicing ligase RtcB homolog OS=Mus musculus OX=10090 GN=Rtcb PE=1 SV=1"
"273","Q6ZPR1","Cilia- and flagella-associated protein 97 OS=Mus musculus OX=10090 GN=Cfap97 PE=1 SV=2"
"274","Q8VDV8","MIT domain-containing protein 1 OS=Mus musculus OX=10090 GN=Mitd1 PE=1 SV=1"
"275","P51830","Adenylate cyclase type 9 OS=Mus musculus OX=10090 GN=Adcy9 PE=1 SV=1"
"276","Q78IS1","Transmembrane emp24 domain-containing protein 3 OS=Mus musculus OX=10090 GN=Tmed3 PE=1 SV=1"
"277","A8Y5H7","SEC14-like protein 1 OS=Mus musculus OX=10090 GN=Sec14l1 PE=1 SV=1"
"278","O88351","Inhibitor of nuclear factor kappa-B kinase subunit beta OS=Mus musculus OX=10090 GN=Ikbkb PE=1 SV=1"
"279","Q61205","Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus OX=10090 GN=Pafah1b3 PE=1 SV=1"
"280","Q3U3R4","Lipase maturation factor 1 OS=Mus musculus OX=10090 GN=Lmf1 PE=1 SV=1"
"281","Q9DCI9","39S ribosomal protein L32, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl32 PE=1 SV=1"
"282","Q9DCL8","Protein phosphatase inhibitor 2 OS=Mus musculus OX=10090 GN=Ppp1r2 PE=1 SV=3"
"283","Q8BMC4","Nucleolar protein 9 OS=Mus musculus OX=10090 GN=Nop9 PE=1 SV=1"
"284","Q3V132","ADP/ATP translocase 4 OS=Mus musculus OX=10090 GN=Slc25a31 PE=1 SV=1"
"285","P11416","Retinoic acid receptor alpha OS=Mus musculus OX=10090 GN=Rara PE=1 SV=1"
"286","Q7TSY8","Shugoshin 2 OS=Mus musculus OX=10090 GN=Sgo2 PE=1 SV=1"
"287","Q8BVD5","MAGUK p55 subfamily member 7 OS=Mus musculus OX=10090 GN=Mpp7 PE=1 SV=2"
"288","Q9R210","Transcription factor EB OS=Mus musculus OX=10090 GN=Tfeb PE=1 SV=2"
"289","P43024","Cytochrome c oxidase subunit 6A1, mitochondrial OS=Mus musculus OX=10090 GN=Cox6a1 PE=1 SV=2"
"290","Q08874","Microphthalmia-associated transcription factor OS=Mus musculus OX=10090 GN=Mitf PE=1 SV=4"
"291","Q6NSR8","Probable aminopeptidase NPEPL1 OS=Mus musculus OX=10090 GN=Npepl1 PE=1 SV=1"
"292","Q8BJ83","TM2 domain-containing protein 3 OS=Mus musculus OX=10090 GN=Tm2d3 PE=2 SV=1"
"293","Q8C176","Transcription initiation factor TFIID subunit 2 OS=Mus musculus OX=10090 GN=Taf2 PE=2 SV=2"
"294","Q5XKN4","Protein jagunal homolog 1 OS=Mus musculus OX=10090 GN=Jagn1 PE=1 SV=2"
"295","Q9JKS5","Intracellular hyaluronan-binding protein 4 OS=Mus musculus OX=10090 GN=Habp4 PE=1 SV=2"
"296","P84244","Histone H3.3 OS=Mus musculus OX=10090 GN=H3f3a PE=1 SV=2"
"297","Q9WU84","Copper chaperone for superoxide dismutase OS=Mus musculus OX=10090 GN=Ccs PE=1 SV=1"
"298","Q9EP72","ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1"
"299","Q9D219","B-cell CLL/lymphoma 9 protein OS=Mus musculus OX=10090 GN=Bcl9 PE=1 SV=3"
"300","Q8C9H6","Striatin-interacting proteins 2 OS=Mus musculus OX=10090 GN=Strip2 PE=1 SV=1"
"301","Q8CJ61","CKLF-like MARVEL transmembrane domain-containing protein 4 OS=Mus musculus OX=10090 GN=Cmtm4 PE=1 SV=1"
"302","Q99MR6","Serrate RNA effector molecule homolog OS=Mus musculus OX=10090 GN=Srrt PE=1 SV=1"
"303","Q06348","Paired mesoderm homeobox protein 2 OS=Mus musculus OX=10090 GN=Prrx2 PE=2 SV=2"
"304","Q99J09","Methylosome protein 50 OS=Mus musculus OX=10090 GN=Wdr77 PE=1 SV=1"
"305","P05214","Tubulin alpha-3 chain OS=Mus musculus OX=10090 GN=Tuba3a PE=1 SV=1"
"306","P28652","Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Mus musculus OX=10090 GN=Camk2b PE=1 SV=2"
"307","P62484","Abl interactor 2 OS=Mus musculus OX=10090 GN=Abi2 PE=1 SV=1"
"308","Q9DCS2","Methyltransferase-like 26 OS=Mus musculus OX=10090 GN=Mettl26 PE=1 SV=1"
"309","E9QAT4","Protein transport protein Sec16A OS=Mus musculus OX=10090 GN=Sec16a PE=1 SV=1"
"310","Q8BL99","Protein dopey-1 OS=Mus musculus OX=10090 GN=Dop1a PE=1 SV=2"
"311","Q9DC71","28S ribosomal protein S15, mitochondrial OS=Mus musculus OX=10090 GN=Mrps15 PE=1 SV=2"
"312","A2A761","Zinc finger protein 69 OS=Mus musculus OX=10090 GN=Zfp69 PE=3 SV=1"
"313","P48756","Gastric inhibitory polypeptide OS=Mus musculus OX=10090 GN=Gip PE=2 SV=2"
"314","Q8BHL5","Engulfment and cell motility protein 2 OS=Mus musculus OX=10090 GN=Elmo2 PE=1 SV=1"
"315","Q8BYK8","Zinc finger CCCH domain-containing protein 6 OS=Mus musculus OX=10090 GN=Zc3h6 PE=2 SV=2"
"316","Q9EPE9","Manganese-transporting ATPase 13A1 OS=Mus musculus OX=10090 GN=Atp13a1 PE=1 SV=2"
"317","Q9D771","Transmembrane protein 206 OS=Mus musculus OX=10090 GN=Tmem206 PE=1 SV=1"
"318","Q8CFI5","Probable proline--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Pars2 PE=1 SV=2"
"319","Q62011","Podoplanin OS=Mus musculus OX=10090 GN=Pdpn PE=1 SV=2"
"320","Q8BL48","RING finger protein unkempt homolog OS=Mus musculus OX=10090 GN=Unk PE=1 SV=1"
"321","Q91ZE0","Trimethyllysine dioxygenase, mitochondrial OS=Mus musculus OX=10090 GN=Tmlhe PE=1 SV=2"
"322","Q9D2L1","Arylsulfatase K OS=Mus musculus OX=10090 GN=Arsk PE=2 SV=2"
"323","Q6PGA0","REST corepressor 3 OS=Mus musculus OX=10090 GN=Rcor3 PE=1 SV=2"
"324","P39053","Dynamin-1 OS=Mus musculus OX=10090 GN=Dnm1 PE=1 SV=2"
"325","P52479","Ubiquitin carboxyl-terminal hydrolase 10 OS=Mus musculus OX=10090 GN=Usp10 PE=1 SV=3"
"326","Q7TQ33","RGM domain family member B OS=Mus musculus OX=10090 GN=Rgmb PE=1 SV=1"
"327","Q80XQ2","TBC1 domain family member 5 OS=Mus musculus OX=10090 GN=Tbc1d5 PE=1 SV=2"
"328","Q6Q477","Plasma membrane calcium-transporting ATPase 4 OS=Mus musculus OX=10090 GN=Atp2b4 PE=1 SV=1"
"329","Q9D061","Acyl-CoA-binding domain-containing protein 6 OS=Mus musculus OX=10090 GN=Acbd6 PE=1 SV=2"
"330","Q60668","Heterogeneous nuclear ribonucleoprotein D0 OS=Mus musculus OX=10090 GN=Hnrnpd PE=1 SV=2"
"331","Q99P31","Hsp70-binding protein 1 OS=Mus musculus OX=10090 GN=Hspbp1 PE=1 SV=1"
"332","Q78HU3","Multivesicular body subunit 12A OS=Mus musculus OX=10090 GN=Mvb12a PE=1 SV=1"
"333","Q4FK66","Pre-mRNA-splicing factor 38A OS=Mus musculus OX=10090 GN=Prpf38a PE=1 SV=1"
"334","Q61029","Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma OS=Mus musculus OX=10090 GN=Tmpo PE=1 SV=4"
"335","P62821","Ras-related protein Rab-1A OS=Mus musculus OX=10090 GN=Rab1A PE=1 SV=3"
"336","Q8VE70","Programmed cell death protein 10 OS=Mus musculus OX=10090 GN=Pdcd10 PE=1 SV=1"
"337","Q8K4T3","STE20-related kinase adapter protein beta OS=Mus musculus OX=10090 GN=Stradb PE=2 SV=1"
"338","P03921","NADH-ubiquinone oxidoreductase chain 5 OS=Mus musculus OX=10090 GN=Mtnd5 PE=1 SV=3"
"339","Q9QYC1","Pecanex-like protein 1 OS=Mus musculus OX=10090 GN=Pcnx1 PE=1 SV=3"
"340","P39429","TNF receptor-associated factor 2 OS=Mus musculus OX=10090 GN=Traf2 PE=1 SV=1"
"341","Q9EQQ9","Protein O-GlcNAcase OS=Mus musculus OX=10090 GN=Oga PE=1 SV=2"
"342","Q64737","Trifunctional purine biosynthetic protein adenosine-3 OS=Mus musculus OX=10090 GN=Gart PE=1 SV=3"
"343","Q9CXI5","Mesencephalic astrocyte-derived neurotrophic factor OS=Mus musculus OX=10090 GN=Manf PE=1 SV=1"
"344","Q5RKZ7","Molybdenum cofactor biosynthesis protein 1 OS=Mus musculus OX=10090 GN=Mocs1 PE=1 SV=2"
"345","Q9D6I7","Divergent protein kinase domain 1A OS=Mus musculus OX=10090 GN=Dipk1a PE=2 SV=1"
"346","Q8BFY9","Transportin-1 OS=Mus musculus OX=10090 GN=Tnpo1 PE=1 SV=2"
"347","Q3TES0","IQ motif and SEC7 domain-containing protein 3 OS=Mus musculus OX=10090 GN=Iqsec3 PE=1 SV=1"
"348","P15261","Interferon gamma receptor 1 OS=Mus musculus OX=10090 GN=Ifngr1 PE=1 SV=3"
"349","Q9ES46","Beta-parvin OS=Mus musculus OX=10090 GN=Parvb PE=1 SV=1"
"350","Q91WJ7","SPATS2-like protein OS=Mus musculus OX=10090 GN=Spats2l PE=2 SV=2"
"351","Q3UMR5","Calcium uniporter protein, mitochondrial OS=Mus musculus OX=10090 GN=Mcu PE=1 SV=2"
"352","Q6NVF4","DNA helicase B OS=Mus musculus OX=10090 GN=Helb PE=1 SV=2"
"353","Q9D1X9","Transmembrane protein 50B OS=Mus musculus OX=10090 GN=Tmem50b PE=1 SV=1"
"354","Q60876","Eukaryotic translation initiation factor 4E-binding protein 1 OS=Mus musculus OX=10090 GN=Eif4ebp1 PE=1 SV=3"
"355","P45878","Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus OX=10090 GN=Fkbp2 PE=1 SV=1"
"356","Q9JJI6","GPI ethanolamine phosphate transferase 3 OS=Mus musculus OX=10090 GN=Pigo PE=1 SV=2"
"357","Q9D023","Mitochondrial pyruvate carrier 2 OS=Mus musculus OX=10090 GN=Mpc2 PE=1 SV=1"
"358","O70281","Protein-tyrosine sulfotransferase 1 OS=Mus musculus OX=10090 GN=Tpst1 PE=1 SV=1"
"359","P59808","SAM and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sash1 PE=1 SV=1"
"360","Q9DBV3","Probable ATP-dependent RNA helicase DHX34 OS=Mus musculus OX=10090 GN=Dhx34 PE=1 SV=2"
"361","O70378","ER membrane protein complex subunit 8 OS=Mus musculus OX=10090 GN=Emc8 PE=1 SV=1"
"362","Q8C8R3","Ankyrin-2 OS=Mus musculus OX=10090 GN=Ank2 PE=1 SV=2"
"363","Q07802","Transcription factor COE1 OS=Mus musculus OX=10090 GN=Ebf1 PE=1 SV=1"
"364","Q9D5J6","Sedoheptulokinase OS=Mus musculus OX=10090 GN=Shpk PE=1 SV=1"
"365","Q9WTJ8","Protein FAM50B OS=Mus musculus OX=10090 GN=Fam50b PE=2 SV=1"
"366","Q8VEF1","Protein Aster-A OS=Mus musculus OX=10090 GN=Gramd1a PE=1 SV=2"
"367","Q8BHA3","D-aminoacyl-tRNA deacylase 2 OS=Mus musculus OX=10090 GN=Dtd2 PE=1 SV=1"
"368","Q9JKF1","Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus OX=10090 GN=Iqgap1 PE=1 SV=2"
"369","P15620","Zinc finger protein 271 OS=Mus musculus OX=10090 GN=Znf271 PE=2 SV=1"
"370","Q9Z1B7","Mitogen-activated protein kinase 13 OS=Mus musculus OX=10090 GN=Mapk13 PE=1 SV=2"
"371","P14824","Annexin A6 OS=Mus musculus OX=10090 GN=Anxa6 PE=1 SV=3"
"372","O35857","Mitochondrial import inner membrane translocase subunit TIM44 OS=Mus musculus OX=10090 GN=Timm44 PE=1 SV=2"
"373","Q61090","Frizzled-7 OS=Mus musculus OX=10090 GN=Fzd7 PE=1 SV=2"
"374","Q8K248","4-hydroxyphenylpyruvate dioxygenase-like protein OS=Mus musculus OX=10090 GN=Hpdl PE=2 SV=1"
"375","P61211","ADP-ribosylation factor-like protein 1 OS=Mus musculus OX=10090 GN=Arl1 PE=1 SV=1"
"376","Q99LD9","Translation initiation factor eIF-2B subunit beta OS=Mus musculus OX=10090 GN=Eif2b2 PE=1 SV=1"
"377","P27546","Microtubule-associated protein 4 OS=Mus musculus OX=10090 GN=Map4 PE=1 SV=3"
"378","Q8BI84","Transport and Golgi organization protein 1 homolog OS=Mus musculus OX=10090 GN=Mia3 PE=1 SV=2"
"379","Q9D2C6","DNA-directed RNA polymerase III subunit RPC8 OS=Mus musculus OX=10090 GN=Polr3h PE=1 SV=2"
"380","Q3UHD1","Adhesion G protein-coupled receptor B1 OS=Mus musculus OX=10090 GN=Adgrb1 PE=1 SV=1"
"381","Q8CG79","Apoptosis-stimulating of p53 protein 2 OS=Mus musculus OX=10090 GN=Tp53bp2 PE=1 SV=3"
"382","Q9JKB3","Y-box-binding protein 3 OS=Mus musculus OX=10090 GN=Ybx3 PE=1 SV=2"
"383","Q9D1K2","V-type proton ATPase subunit F OS=Mus musculus OX=10090 GN=Atp6v1f PE=1 SV=2"
"384","O88888","Amyloid-beta A4 precursor protein-binding family A member 3 OS=Mus musculus OX=10090 GN=Apba3 PE=1 SV=1"
"385","Q32MG2","Spermatid-associated protein OS=Mus musculus OX=10090 GN=Spert PE=1 SV=2"
"386","A2AMZ4","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Mus musculus OX=10090 GN=Ndufaf8 PE=1 SV=1"
"387","O89110","Caspase-8 OS=Mus musculus OX=10090 GN=Casp8 PE=1 SV=1"
"388","Q8JZU0","Nucleoside diphosphate-linked moiety X motif 13 OS=Mus musculus OX=10090 GN=Nudt13 PE=1 SV=2"
"389","Q6GQX2","Nck-associated protein 5-like OS=Mus musculus OX=10090 GN=Nckap5l PE=1 SV=1"
"390","Q8C3P7","N6-adenosine-methyltransferase subunit METTL3 OS=Mus musculus OX=10090 GN=Mettl3 PE=1 SV=2"
"391","Q8CHT0","Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Aldh4a1 PE=1 SV=3"
"392","Q61239","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Mus musculus OX=10090 GN=Fnta PE=1 SV=1"
"393","Q9DC70","NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs7 PE=1 SV=1"
"394","Q8R1J3","Zinc finger CCHC domain-containing protein 9 OS=Mus musculus OX=10090 GN=Zcchc9 PE=2 SV=2"
"395","Q9ET01","Glycogen phosphorylase, liver form OS=Mus musculus OX=10090 GN=Pygl PE=1 SV=4"
"396","Q9Z2K1","Keratin, type I cytoskeletal 16 OS=Mus musculus OX=10090 GN=Krt16 PE=1 SV=3"
"397","O08999","Latent-transforming growth factor beta-binding protein 2 OS=Mus musculus OX=10090 GN=Ltbp2 PE=1 SV=2"
"398","Q9CR73","Proline-rich nuclear receptor coactivator 2 OS=Mus musculus OX=10090 GN=Pnrc2 PE=2 SV=1"
"399","Q5SV85","Synergin gamma OS=Mus musculus OX=10090 GN=Synrg PE=1 SV=1"
"400","Q99P65","Equilibrative nucleoside transporter 3 OS=Mus musculus OX=10090 GN=Slc29a3 PE=1 SV=1"
"401","Q91VH1","Adiponectin receptor protein 1 OS=Mus musculus OX=10090 GN=Adipor1 PE=1 SV=1"
"402","Q62018","RNA polymerase-associated protein CTR9 homolog OS=Mus musculus OX=10090 GN=Ctr9 PE=1 SV=2"
"403","Q8VC30","Triokinase/FMN cyclase OS=Mus musculus OX=10090 GN=Tkfc PE=1 SV=1"
"404","P49135","General transcription and DNA repair factor IIH helicase subunit XPB OS=Mus musculus OX=10090 GN=Ercc3 PE=2 SV=1"
"405","P42228","Signal transducer and activator of transcription 4 OS=Mus musculus OX=10090 GN=Stat4 PE=1 SV=1"
"406","O35566","CD151 antigen OS=Mus musculus OX=10090 GN=Cd151 PE=1 SV=2"
"407","P10078","Zinc finger protein 28 OS=Mus musculus OX=10090 GN=Zfp28 PE=2 SV=3"
"408","Q810J8","Zinc finger FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Zfyve1 PE=1 SV=2"
"409","Q8VE37","Regulator of chromosome condensation OS=Mus musculus OX=10090 GN=Rcc1 PE=1 SV=1"
"410","Q922H1","Protein arginine N-methyltransferase 3 OS=Mus musculus OX=10090 GN=Prmt3 PE=1 SV=2"
"411","Q9Z2Y8","Pyridoxal phosphate homeostasis protein OS=Mus musculus OX=10090 GN=Plpbp PE=1 SV=1"
"412","P23949","mRNA decay activator protein ZFP36L2 OS=Mus musculus OX=10090 GN=Zfp36l2 PE=1 SV=2"
"413","Q9CY18","Sorting nexin-7 OS=Mus musculus OX=10090 GN=Snx7 PE=1 SV=1"
"414","O55013","Trafficking protein particle complex subunit 3 OS=Mus musculus OX=10090 GN=Trappc3 PE=1 SV=1"
"415","Q80UK0","SEC14 domain and spectrin repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Sestd1 PE=1 SV=1"
"416","Q3UHD2","Glucose-fructose oxidoreductase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Gfod1 PE=1 SV=1"
"417","O70230","Zinc finger protein 143 OS=Mus musculus OX=10090 GN=Znf143 PE=1 SV=2"
"418","Q61457","G1/S-specific cyclin-E1 OS=Mus musculus OX=10090 GN=Ccne1 PE=1 SV=2"
"419","Q9Z1B3","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 OS=Mus musculus OX=10090 GN=Plcb1 PE=1 SV=2"
"420","Q8BG32","26S proteasome non-ATPase regulatory subunit 11 OS=Mus musculus OX=10090 GN=Psmd11 PE=1 SV=3"
"421","Q91VS8","FERM, ARHGEF and pleckstrin domain-containing protein 2 OS=Mus musculus OX=10090 GN=Farp2 PE=1 SV=2"
"422","Q09163","Protein delta homolog 1 OS=Mus musculus OX=10090 GN=Dlk1 PE=1 SV=1"
"423","Q0GNC1","Inverted formin-2 OS=Mus musculus OX=10090 GN=Inf2 PE=1 SV=1"
"424","Q6DID7","Protein wntless homolog OS=Mus musculus OX=10090 GN=Wls PE=1 SV=1"
"425","O35900","U6 snRNA-associated Sm-like protein LSm2 OS=Mus musculus OX=10090 GN=Lsm2 PE=1 SV=1"
"426","Q61599","Rho GDP-dissociation inhibitor 2 OS=Mus musculus OX=10090 GN=Arhgdib PE=1 SV=3"
"427","Q6PAK3","Protein arginine N-methyltransferase 8 OS=Mus musculus OX=10090 GN=Prmt8 PE=1 SV=2"
"428","P10605","Cathepsin B OS=Mus musculus OX=10090 GN=Ctsb PE=1 SV=2"
"429","O88554","Poly [ADP-ribose] polymerase 2 OS=Mus musculus OX=10090 GN=Parp2 PE=1 SV=3"
"430","P29341","Polyadenylate-binding protein 1 OS=Mus musculus OX=10090 GN=Pabpc1 PE=1 SV=2"
"431","O08756","3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus OX=10090 GN=Hsd17b10 PE=1 SV=4"
"432","O54794","Aquaporin-7 OS=Mus musculus OX=10090 GN=Aqp7 PE=1 SV=1"
"433","Q8K4P8","E3 ubiquitin-protein ligase HECW1 OS=Mus musculus OX=10090 GN=Hecw1 PE=1 SV=3"
"434","P51569","Alpha-galactosidase A OS=Mus musculus OX=10090 GN=Gla PE=1 SV=1"
"435","Q61532","Mitogen-activated protein kinase 6 OS=Mus musculus OX=10090 GN=Mapk6 PE=1 SV=3"
"436","E9Q9R9","Disks large homolog 5 OS=Mus musculus OX=10090 GN=Dlg5 PE=1 SV=1"
"437","Q6PCP5","Mitochondrial fission factor OS=Mus musculus OX=10090 GN=Mff PE=1 SV=1"
"438","Q8K1A5","Transmembrane protein 41B OS=Mus musculus OX=10090 GN=Tmem41b PE=1 SV=1"
"439","P52795","Ephrin-B1 OS=Mus musculus OX=10090 GN=Efnb1 PE=1 SV=1"
"440","P29351","Tyrosine-protein phosphatase non-receptor type 6 OS=Mus musculus OX=10090 GN=Ptpn6 PE=1 SV=2"
"441","Q6NT99","Dual specificity protein phosphatase 23 OS=Mus musculus OX=10090 GN=Dusp23 PE=1 SV=1"
"442","Q9JLN9","Serine/threonine-protein kinase mTOR OS=Mus musculus OX=10090 GN=Mtor PE=1 SV=2"
"443","Q8BYR2","Serine/threonine-protein kinase LATS1 OS=Mus musculus OX=10090 GN=Lats1 PE=1 SV=3"
"444","Q7TNE1","Succinate--hydroxymethylglutarate CoA-transferase OS=Mus musculus OX=10090 GN=Sugct PE=1 SV=2"
"445","P10833","Ras-related protein R-Ras OS=Mus musculus OX=10090 GN=Rras PE=1 SV=1"
"446","Q91X83","S-adenosylmethionine synthase isoform type-1 OS=Mus musculus OX=10090 GN=Mat1a PE=1 SV=1"
"447","P23950","mRNA decay activator protein ZFP36L1 OS=Mus musculus OX=10090 GN=Zfp36l1 PE=1 SV=1"
"448","Q9EPB5","Serine hydrolase-like protein OS=Mus musculus OX=10090 GN=Serhl PE=1 SV=1"
"449","Q80YD1","ATP-dependent RNA helicase SUPV3L1, mitochondrial OS=Mus musculus OX=10090 GN=Supv3l1 PE=1 SV=1"
"450","P19783","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Mus musculus OX=10090 GN=Cox4i1 PE=1 SV=2"
"451","P07901","Heat shock protein HSP 90-alpha OS=Mus musculus OX=10090 GN=Hsp90aa1 PE=1 SV=4"
"452","O09164","Extracellular superoxide dismutase [Cu-Zn] OS=Mus musculus OX=10090 GN=Sod3 PE=1 SV=1"
"453","Q8C2Q3","RNA-binding protein 14 OS=Mus musculus OX=10090 GN=Rbm14 PE=1 SV=1"
"454","Q9DBL2","Ganglioside-induced differentiation-associated protein 2 OS=Mus musculus OX=10090 GN=Gdap2 PE=1 SV=1"
"455","F8VQB6","Unconventional myosin-X OS=Mus musculus OX=10090 GN=Myo10 PE=1 SV=1"
"456","cRAP048","Keratin, type I cuticular Ha8 OS=Homo sapiens GN=KRT38 PE=2 SV=3"
"457","Q4VAA2","Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=2"
"458","P30415","NK-tumor recognition protein OS=Mus musculus OX=10090 GN=Nktr PE=1 SV=4"
"459","Q80VP0","Tectonin beta-propeller repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Tecpr1 PE=1 SV=1"
"460","Q8C1S0","Mediator of RNA polymerase II transcription subunit 19 OS=Mus musculus OX=10090 GN=Med19 PE=1 SV=1"
